date,晚盘价,早盘价
2024-05-15,560.67,560.89
2024-05-16,561.14,559.75
2024-05-19,574.83,572.72
2024-05-20,568.2,571.32
2024-05-21,568.9,571.0
2024-05-22,556.29,558.41
2024-05-23,550.57,549.68
2024-05-26,552.51,552.03
2024-05-27,552.72,555.81
2024-05-28,555.96,556.55
2024-05-29,551.69,552.0
2024-05-30,553.45,553.31
2024-06-02,549.25,550.66
2024-06-03,553.56,554.16
2024-06-04,550.9,550.43
2024-06-05,558.97,559.08
2024-06-06,559.6,559.78
2024-06-10,542.78,542.52
2024-06-11,545.87,545.4
2024-06-12,545.9,545.63
2024-06-13,546.36,544.17
2024-06-16,547.08,548.67
2024-06-17,547.66,548.38
2024-06-18,549.54,549.44
2024-06-19,553.96,551.91
2024-06-20,556.92,557.27
2024-06-23,548.59,548.41
2024-06-24,549.49,549.31
2024-06-25,546.21,546.1
2024-06-26,543.06,542.67
2024-06-27,549.47,547.56
2024-06-30,549.47,549.64
2024-07-01,550.41,550.96
2024-07-02,553.52,550.79
2024-07-03,556.4,557.61
2024-07-04,557.81,557.17
2024-07-07,559.43,562.17
2024-07-08,556.81,557.03
2024-07-09,559.46,558.44
2024-07-10,561.49,560.02
2024-07-11,564.46,565.71
2024-07-14,564.29,566.19
2024-07-15,570.2,569.25
2024-07-16,577.33,581.09
2024-07-17,577.12,575.22
2024-07-18,562.3,566.9
2024-07-21,562.59,562.58
2024-07-22,559.65,562.43
2024-07-23,566.13,564.87
2024-07-24,552.54,555.06
2024-07-25,554.8,552.93
2024-07-28,558.68,558.43
2024-07-29,558.91,556.63
2024-07-30,564.0,561.09
2024-07-31,568.49,569.32
2024-08-01,571.09,570.21
2024-08-04,558.05,559.94
2024-08-05,553.24,555.31
2024-08-06,554.77,552.85
2024-08-07,554.81,553.0
2024-08-08,559.5,561.15
2024-08-11,563.74,560.86
2024-08-12,568.1,569.34
2024-08-13,566.6,565.48
2024-08-14,565.69,564.42
2024-08-15,566.41,566.4
2024-08-18,572.14,570.84
2024-08-19,572.7,571.41
2024-08-20,574.63,574.75
2024-08-21,573.01,573.65
2024-08-22,571.3,570.63
2024-08-25,574.45,573.96
2024-08-26,574.6,572.87
2024-08-27,573.78,575.46
2024-08-28,574.16,575.29
2024-08-29,573.63,573.21
2024-09-01,569.91,569.62
2024-09-02,570.96,570.79
2024-09-03,567.4,569.51
2024-09-04,570.83,568.98
2024-09-05,572.5,571.98
2024-09-08,568.62,570.68
2024-09-09,572.44,572.07
2024-09-10,575.24,574.51
2024-09-11,574.43,573.74
2024-09-12,583.19,582.79
2024-09-17,582.63,583.08
2024-09-18,581.62,581.46
2024-09-19,587.29,584.43
2024-09-22,592.56,590.73
2024-09-23,592.12,593.55
2024-09-24,596.26,597.09
2024-09-25,597.46,598.16
2024-09-26,597.53,599.01
2024-09-29,594.57,593.92
2024-10-07,593.87,596.27
2024-10-08,586.76,589.58
2024-10-09,588.93,587.08
2024-10-10,595.48,595.34
2024-10-13,601.39,597.28
2024-10-14,601.67,600.73
2024-10-15,610.06,606.92
2024-10-16,612.74,612.22
2024-10-17,617.18,619.51
2024-10-20,624.21,622.03
2024-10-21,624.79,624.27
2024-10-22,628.21,625.87
2024-10-23,622.96,620.7
2024-10-24,622.77,622.26
2024-10-27,625.28,623.62
2024-10-28,629.96,629.63
2024-10-29,636.83,635.36
2024-10-30,634.27,635.91
2024-10-31,628.2,627.24
2024-11-03,623.68,624.45
2024-11-04,623.47,623.06
2024-11-05,623.24,627.51
2024-11-06,609.72,611.33
2024-11-07,613.73,615.69
2024-11-10,614.06,613.86
2024-11-11,604.04,606.73
2024-11-12,602.87,603.35
2024-11-13,591.42,595.33
2024-11-14,591.93,593.84
2024-11-17,598.79,599.41
2024-11-18,608.12,605.53
2024-11-19,609.35,611.38
2024-11-20,616.16,615.22
2024-11-21,623.75,620.76
2024-11-24,616.26,624.55
2024-11-25,608.21,609.53
2024-11-26,614.31,611.12
2024-11-27,610.69,608.12
2024-11-28,615.69,615.05
2024-12-01,611.57,610.64
2024-12-02,617.04,615.82
2024-12-03,616.15,616.39
2024-12-04,616.35,616.45
2024-12-05,614.01,610.35
2024-12-08,617.15,617.37
2024-12-09,619.41,620.29
2024-12-10,624.79,625.59
2024-12-11,629.04,627.45
2024-12-12,623.77,624.43
2024-12-15,617.67,617.23
2024-12-16,617.3,619.42
2024-12-17,616.7,617.41
2024-12-18,611.85,611.44
2024-12-19,612.32,610.43
2024-12-22,618.26,616.58
2024-12-23,616.12,616.39
2024-12-24,617.08,617.34
2024-12-25,617.96,618.02
2024-12-26,618.43,618.33
2024-12-29,616.32,617.09
2024-12-30,616.26,614.41
2025-01-01,621.68,620.84
2025-01-02,626.77,626.48
2025-01-05,624.1,626.13
2025-01-06,624.76,623.84
2025-01-07,627.13,625.98
2025-01-08,630.36,627.83
2025-01-09,634.72,632.24
2025-01-12,636.66,636.96
2025-01-13,632.29,631.73
2025-01-14,634.74,632.46
